reason,uniqueid
0.0-6.2-2.2-0.2,A18XFOKU5G1OL1:3KJYX6QCMAT1CDTOZC54FM3QT25JVJ
0.0-6.2-2.2-0.2,A232ZH9BEBC7RG:3V0Z7YWSIZI16HVGSRZCG5H9SST2VS
0.0-6.2-2.2-0.2,A2EW08X2I87RXL:3LS2AMNW5G8N8GO4TQ3ZHVL4CVXQOV
0.0-6.2-2.2-0.2,A2JPGLBWQ1X49G:3YGXWBAF71ZFAM435ONVJSQIOT84CB
0.0-6.2-2.2-0.2,A2NITHCE81FACY:3IXEICO7931ABQASAYB050A092T6TP
0.0-1.0-0.0,A2O762LZEZN3JC:3OVR4I9USQ1J4NEMA6OQ3XFZTKK4QG
0.0-6.2-2.2-0.2,A2T3CUOWE8D4OE:3FTYUGLFSV37BXEHJP1G8QEEAQ65DB
0.0-6.2-2.2-0.2,A2UA3QR3EUAT9K:3VP0C6EFSHE6YVK811AOJMF8H326MD
0.0-6.2-2.2-0.2,A2UDE1QUHS1A2E:3HRMW88U178BKKYTZCU7AL5H1210MS
0.0-6.2-2.2-0.2,A2ZX7580NVWA6I:3II4UPYCOKPW4JXF3HPJ61958HIQDQ
0.0-6.2-2.2-0.2,A33M7EZ72P8TWF:36AHBNMV1SU5DLO1UR6DJNC7609YDU
0.0-6.2-2.2-0.2,A348JMXKNRTXW1:3LEIZ60CDKHTFLLPEX3UBY2JMYH9ZD
0.0-1.0-0.0,A366MTQY0JG0EM:3DIP6YHAPDAVQLBJDIJ3QS6QBZF8ET
0.0-1.0-0.0,A3963FCT1PKKOH:3EJJQNKU9SNDS0HH2SX92CY8UK8RH8
0.0-6.2-2.2-0.2,A3C31Q12GIH1JE:3E4GGUZ1T99NQ614TNL5EW6SAJKK2Y
0.0-1.0-0.0,A3FUKCYLQ1ED8U:3M0BCWMB8WE89JVH1UXJ303RTN9BWA
0.0-6.2-2.2-0.2,A3J8Y94SGZ3R0E:3HSYG7LRBKGI7M5UITR9ESSMR9PKKJ
0.0-1.0-0.0,A3N63NZWJ6CHH4:3H8DHMCCWATATGZKQC5MAFXW9C7DK4
0.0-6.2-2.2-0.2,A3NMU6AVMQ0QDB:33PPO7FECWXJNL9WQ9KAXZIJH79DII
0.0-1.0-0.0,AAIX34EBHHA8D:3PDJHANYK6YK6HJXA4UBRH7CZKVH6C
0.0-6.2-2.2-0.2,ABL3H3O3BI8ZD:3JC6VJ2SAC19DQB5ZFAEIP68MBGA5U
0.0-6.2-2.2-0.2,AMRCYLXE4S5KM:3K4J6M3CXFB7TN0PGBT5MMXXFHDAGS
