,V1,V1,x
ss0,0.114691689,0.02390838,0.06013994
ss1,-0.047942909,-0.460171913,0.100316742
ss2,-0.032580384,-0.090280462,0.161999658
ss3,0.199154688,0.319060184,-0.10397944
ss4,-0.010213229,0.174880521,0.006991827
ss5,0.243829054,-0.007205047,-0.411449282
ss6,0.199801169,-0.271750331,-0.103679822
ss7,-0.308077665,-0.261915221,0.180487856
ss8,-0.000380231,0.139209175,0.136306075
ss9,0.051170445,0.041615368,-0.052166009
ss10,0.160023037,0.165616771,0.160849302
ss11,0.217804701,0.001571888,-0.209861568
ss12,-0.210989031,0.067463834,0.251725548
ss13,0.262569032,0.241287606,-0.177601714
ss14,0.092225919,-0.110489514,-0.040514049
ss15,-0.190202985,-0.011775943,0.037815559
ss16,-0.06522403,0.026731286,0.189913356
ss17,0.015790173,-0.047137238,-0.130723901
ss18,-0.00889784,-0.290733372,0.050719221
ss19,0.198388449,-0.03296277,-0.168186267
ss20,-0.051446157,-0.099837972,-0.020131034
ss21,-0.157579365,-0.106381737,-0.138667933
ss22,0.097732924,0.047316488,0.052655321
ss23,0.070074794,0.000895003,0.098391044
ss24,0.053850081,-0.079377627,-0.064788707
ss25,-0.058420025,0.09298744,0.165928427
ss26,-0.011848438,-0.002411948,0.071276418
ss27,0.055756868,0.172782206,-0.000150336
ss28,-0.122750772,-0.032355395,0.045678488
ss29,-0.107017819,0.013239574,-0.049242782
ss30,-0.008378776,-0.048199522,-0.041187923
ss31,0.077147385,0.075990908,0.015071704
ss32,0.101487604,-0.054633653,-0.162106619
ss33,-0.091305366,-0.080759117,-0.045813524
ss34,-0.089045241,0.039101245,0.108879594
ss35,-0.073648684,0.051704419,-0.052880572
ss36,-0.174002687,-0.111977262,-0.024307516
ss37,-0.103243073,-0.037983148,0.085159936
ss38,-0.134314975,0.028766785,0.008336171
ss39,-0.174649865,0.158329546,0.070107152
ss40,0.105210272,0.110370406,-0.004675803
ss41,0.126780046,0.102579913,-0.113848825
ss42,0.12497504,0.07562461,0.042007417
ss43,0.313345516,-0.017180728,-0.101938452
ss44,-0.179836376,0.334378251,0.061946131
ss45,0.036732419,0.038459423,0.018823666
ss46,0.013226245,0.053757984,-0.037611574
ss47,0.118944575,0.099200253,-0.017333679
ss48,0.112434735,0.030932219,-0.030166998
ss49,-0.254110634,0.07413894,0.121487777
